UPC,DESCRIPTION,MANUFACTURER,CATEGORY,SUB_CATEGORY,PRODUCT_SIZE
1111009477,PL MINI TWIST PRETZELS,PRIVATE LABEL,BAG SNACKS,PRETZELS,15 OZ
1111009497,PL PRETZEL STICKS,PRIVATE LABEL,BAG SNACKS,PRETZELS,15 OZ
1111009507,PL TWIST PRETZELS,PRIVATE LABEL,BAG SNACKS,PRETZELS,15 OZ
1111038078,PL BL MINT ANTSPTC RINSE,PRIVATE LABEL,ORAL HYGIENE PRODUCTS,MOUTHWASHES (ANTISEPTIC),500 ML
1111038080,PL ANTSPTC SPG MNT MTHWS,PRIVATE LABEL,ORAL HYGIENE PRODUCTS,MOUTHWASHES (ANTISEPTIC),500 ML
1111085319,PL HONEY NUT TOASTD OATS,PRIVATE LABEL,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ
1111085345,PL RAISIN BRAN,PRIVATE LABEL,COLD CEREAL,ADULT CEREAL,20 OZ
1111085350,PL BT SZ FRSTD SHRD WHT,PRIVATE LABEL,COLD CEREAL,ALL FAMILY CEREAL,18 OZ
1111087395,PL SR CRUST SUPRM PIZZA,PRIVATE LABEL,FROZEN PIZZA,PIZZA/PREMIUM,32.7 OZ
1111087396,PL SR CRUST 3 MEAT PIZZA,PRIVATE LABEL,FROZEN PIZZA,PIZZA/PREMIUM,30.5 OZ
1111087398,PL SR CRUST PEPPRN PIZZA,PRIVATE LABEL,FROZEN PIZZA,PIZZA/PREMIUM,29.6 OZ
1600027527,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ
1600027528,GM CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,18 OZ
1600027564,GM CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12 OZ
2840004768,RLDGLD TINY TWISTS PRTZL,FRITO LAY,BAG SNACKS,PRETZELS,16 OZ
2840004770,RLDGLD PRETZEL STICKS,FRITO LAY,BAG SNACKS,PRETZELS,16 OZ
3700031613,SCOPE ORIG MINT MOUTHWASH,P & G,ORAL HYGIENE PRODUCTS,MOUTHWASH/RINSES AND SPRAYS,1 LT
3700044982,CREST PH CLN MINT RINSE,P & G,ORAL HYGIENE PRODUCTS,MOUTHWASHES (ANTISEPTIC),1 LT
3800031829,KELL BITE SIZE MINI WHEAT,KELLOGG,COLD CEREAL,ALL FAMILY CEREAL,18 OZ
3800031838,KELL FROSTED FLAKES,KELLOGG,COLD CEREAL,KIDS CEREAL,15 OZ
3800039118,KELL FROOT LOOPS,KELLOGG,COLD CEREAL,KIDS CEREAL,12.2 OZ
7192100336,DIGIORNO THREE MEAT,TOMBSTONE,FROZEN PIZZA,PIZZA/PREMIUM,29.8 OZ
7192100337,DIGRN SUPREME PIZZA,TOMBSTONE,FROZEN PIZZA,PIZZA/PREMIUM,32.7 OZ
7192100339,DIGRN PEPP PIZZA,TOMBSTONE,FROZEN PIZZA,PIZZA/PREMIUM,28.3 OZ
7218063052,FRSC BRCK OVN ITL PEP PZ,TONYS,FROZEN PIZZA,PIZZA/PREMIUM,22.7 OZ
7797502248,SNYDR PRETZEL RODS,SNYDER S,BAG SNACKS,PRETZELS,10 OZ
7797508004,SNYDR SOURDOUGH NIBBLERS,SNYDER S,BAG SNACKS,PRETZELS,16 OZ
7797508006,SNYDR FF MINI PRETZELS,SNYDER S,BAG SNACKS,PRETZELS,16 OZ
31254742735,LSTRNE CL MINT ANTSPTC MW,WARNER,ORAL HYGIENE PRODUCTS,MOUTHWASHES (ANTISEPTIC),1 LT
31254742835,LSTRNE FRS BRST ANTSPC MW,WARNER,ORAL HYGIENE PRODUCTS,MOUTHWASHES (ANTISEPTIC),1 LT
